Accounting,المحاسبة
Material Requests for Which Supplier Quotations Are Not Created,طلبات مواد لم تُنشأ لها عروض أسعار موردين
Material requests for which supplier quotations are not created,طلبات مواد لم تُنشأ لها عروض أسعار موردين
Supplier Addresses And Contacts,عناوين وبيانات اتصال الموردين
Supplier addresses and contacts,عناوين وبيانات اتصال الموردين
Import sales invoice,استيراد فواتير المبيعات
Financial reports,التقارير المالية
General ledger,دفتر الأستاذ العام
Customer ledger summary,ملخص كشف حساب العملاء
Financial statements,القوائم المالية
Trial balance,ميزان المراجعة
Profit And Loss Statement,قائمة الدخل
Profit and loss statement,قائمة الدخل
Balance sheet,قائمة المركز المالي
Cash flow,قائمة التدفقات النقدية
Consolidated financial statement,القوائم المالية الموحدة
Gross profit,مجمل الربح
Profitability analysis,تحليل الربحية
Sales invoice trends,تحليل فواتير المبيعات حسب الفترة
Trial Balance For Party,ميزان مراجعة العملاء والموردين
Trial balance for party,ميزان مراجعة العملاء والموردين
Payment period based on invoice date,فترة السداد حسب تاريخ الفاتورة
Sales partners commission,عمولات شركاء المبيعات
Customer credit balance,الرصيد الدائن للعميل
Sales payment summary,ملخص تحصيلات المبيعات
Address and contacts,العناوين وبيانات الاتصال
Sales order,أمر بيع
Sales invoice,فاتورة مبيعات
Blanket order,اتفاقية بيع مفتوحة
Sales partner,شريك المبيعات
Sales person,مندوب المبيعات
Point Of Sale,نقطة البيع
Point of sale,نقطة البيع
Point-Of-Sale Profile,إعدادات تشغيل نقطة البيع
Point-of-sale Profile,إعدادات تشغيل نقطة البيع
Point-of-sale profile,إعدادات تشغيل نقطة البيع
Pos Settings,الإعدادات العامة لنقاط البيع
Pos settings,الإعدادات العامة لنقاط البيع
Pos Opening Entry,فتح وردية نقطة البيع
Pos opening entry,فتح وردية نقطة البيع
Pos Closing Entry,إغلاق وردية نقطة البيع
Pos closing entry,إغلاق وردية نقطة البيع
Loyalty program,برنامج الولاء
Loyalty point entry,حركة نقاط الولاء
Items And Pricing,الأصناف والتسعير
Items and pricing,الأصناف والتسعير
Shipping rule,قاعدة احتساب رسوم الشحن
Coupon code,رمز الخصم
Selling settings,إعدادات المبيعات
Lead source,مصدر العميل المحتمل
Customer group,مجموعة العملاء
Sales analytics,تحليلات المبيعات
Sales funnel,مراحل تحويل العملاء المحتملين
Sales order trends,تحليل أوامر البيع حسب الفترة
Quotation trends,تحليل عروض الأسعار حسب الفترة
Customer Acquisition And Loyalty,استقطاب العملاء وولاؤهم
Customer acquisition and loyalty,استقطاب العملاء وولاؤهم
Inactive customers,العملاء غير النشطين
Sales Person-Wise Transaction Summary,ملخص معاملات مندوبي المبيعات
Sales person-wise transaction summary,ملخص معاملات مندوبي المبيعات
Item-Wise Sales History,سجل مبيعات الأصناف
Item-wise sales history,سجل مبيعات الأصناف
Customer addresses and contacts,عناوين وبيانات اتصال العملاء
Available Stock For Packing Items,المخزون المتاح لمكونات الأصناف المجمّعة
Available stock for packing items,المخزون المتاح لمكونات الأصناف المجمّعة
Pending So Items For Purchase Request,الأصناف المطلوب شراؤها لتغطية أوامر البيع
Pending so items for purchase request,الأصناف المطلوب شراؤها لتغطية أوامر البيع
Delivery note trends,تحليل سندات التسليم حسب الفترة
Customers without any sales transactions,العملاء دون معاملات بيع
Territory target variance based on item group,مقارنة المستهدف بالمحقق لمناطق البيع حسب مجموعة الأصناف
Sales person target variance based on item group,مقارنة المستهدف بالمحقق لمندوبي المبيعات حسب مجموعة الأصناف
Sales partner target variance based on item group,مقارنة المستهدف بالمحقق لشركاء المبيعات حسب مجموعة الأصناف
Items catalogue,دليل الأصناف
Item alternative,الصنف البديل
Item manufacturer,الشركة المصنعة للصنف
Stock transactions,حركات المخزون
Stock entry,إذن مخزني
Delivery note,سند تسليم
Purchase receipt,إذن استلام مشتريات
Pick list,قائمة تجهيز الطلبات
Delivery trip,رحلة التوصيل
Stock reports,تقارير المخزون
Stock ledger,سجل حركة المخزون
Stock balance,رصيد المخزون
Stock projected qty,الكمية المتوقعة بالمخزون
Stock summary,ملخص المخزون
Stock ageing,تحليل أعمار المخزون
Item price stock,مخزون الأصناف وأسعارها
Warehouse wise stock balance,أرصدة المخزون حسب المستودع
Stock settings,إعدادات المخزون
Unit Of Measure (Uom),وحدة القياس
Unit of Measure (uom),وحدة القياس
Unit of measure (uom),وحدة القياس
Item variant settings,إعدادات متغيرات الأصناف
Item attribute,خاصية الصنف
Uom Conversion Factor,معامل تحويل وحدات القياس
Uom conversion factor,معامل تحويل وحدات القياس
Serial No And Batch,الأرقام التسلسلية والتشغيلات
Serial no and batch,الأرقام التسلسلية والتشغيلات
Serial no,الرقم التسلسلي
Installation note,محضر التركيب
Serial no service contract expiry,تاريخ انتهاء عقد صيانة الرقم التسلسلي
Serial no status,حالة الرقم التسلسلي
Serial no warranty expiry,تاريخ انتهاء ضمان الرقم التسلسلي
Stock reconciliation,جرد وتسوية المخزون
Landed cost voucher,سند تحميل التكاليف على المخزون
Packing slip,قائمة التعبئة
Quality inspection,فحص الجودة
Quality inspection template,نموذج فحص الجودة
Quick stock balance,استعلام رصيد المخزون
Stock analytics,تحليلات المخزون
Item shortage report,تقرير نواقص الأصناف
Batch-wise Balance History,سجل الأرصدة حسب التشغيلة
Batch-wise balance history,سجل الأرصدة حسب التشغيلة
Requested items to be transferred,الأصناف المطلوبة للتحويل
Batch item expiry status,حالة صلاحية الأصناف حسب التشغيلة
Item prices,أسعار الأصناف
Itemwise recommended reorder level,مستوى إعادة الطلب المقترح لكل صنف
Item variant details,تفاصيل متغيرات الأصناف
Asset maintenance team,فريق صيانة الأصول
Asset maintenance,صيانة الأصول
Asset maintenance log,سجل صيانة الأصول
Asset value adjustment,تعديل قيمة الأصل
Asset repair,إصلاح الأصل
Asset capitalization,رسملة الأصل
Asset depreciation ledger,سجل إهلاك الأصول
Asset Depreciations And Balances,إهلاكات وأرصدة الأصول
Asset depreciations and balances,إهلاكات وأرصدة الأصول
Asset activity,سجل حركات الأصول
Asset category,فئة الأصل
Asset movement,نقل الأصول
Fixed Asset Register,سجل الأصول الثابتة
Work order,أمر إنتاج
Production plan,خطة الإنتاج
Job card,بطاقة تشغيل
Downtime entry,تسجيل توقف الإنتاج
Bill Of Materials,قائمة مكونات المنتج (BOM)
Bill of materials,قائمة مكونات المنتج (BOM)
Workstation type,نوع مركز العمل
Production planning report,تقرير تخطيط الإنتاج
Work order summary,ملخص أوامر الإنتاج
Quality inspection summary,ملخص فحوصات الجودة
Downtime analysis,تحليل أوقات التوقف
Job card summary,ملخص بطاقات التشغيل
Bom Search,البحث في قوائم مكونات المنتج
Bom search,البحث في قوائم مكونات المنتج
Bom Stock Report,تقرير مخزون قوائم مكونات المنتج
Bom stock report,تقرير مخزون قوائم مكونات المنتج
Production analytics,تحليلات الإنتاج
Bom Operations Time,أوقات عمليات قائمة مكونات المنتج
Bom operations time,أوقات عمليات قائمة مكونات المنتج
Work order consumed materials,المواد المستهلكة بأوامر الإنتاج
Bom Update Tool,أداة تحديث قوائم مكونات المنتج
Bom update tool,أداة تحديث قوائم مكونات المنتج
Manufacturing settings,إعدادات التصنيع
Quality feedback,ملاحظات الجودة
Quality feedback template,نموذج ملاحظات الجودة
Goal And Procedure,أهداف وإجراءات الجودة
Goal and procedure,أهداف وإجراءات الجودة
Quality goal,هدف الجودة
Quality procedure,إجراء الجودة
Tree Of Procedures,هيكل الإجراءات
Tree of procedures,هيكل الإجراءات
Quality meeting,اجتماع الجودة
Review And Action,المراجعات والإجراءات
Review and action,المراجعات والإجراءات
Non conformance,عدم المطابقة
Quality review,مراجعة الجودة
Quality action,إجراء تصحيحي
Project template,نموذج مشروع
Project type,نوع المشروع
Project update,تحديث المشروع
Time tracking,تتبع الوقت
Activity type,نوع النشاط
Activity cost,تكلفة النشاط
Daily timesheet summary,ملخص كشوف ساعات العمل اليومية
Project Wise Stock Tracking,تتبع المخزون حسب المشروع
Project wise stock tracking,تتبع المخزون حسب المشروع
Project billing summary,ملخص فوترة المشروع
Delayed tasks summary,ملخص المهام المتأخرة
Issue type,نوع التذكرة
Issue priority,أولوية التذكرة
Maintenance schedule,جدول الصيانة
Maintenance visit,زيارة صيانة
Service level agreement,اتفاقية مستوى الخدمة
Warranty claim,مطالبة ضمان
Support settings,إعدادات الدعم
First Response Time For Issues,وقت الاستجابة الأول لتذاكر الدعم
First response time for issues,وقت الاستجابة الأول لتذاكر الدعم
Role profile,ملف صلاحيات الدور
Module profile,ملف صلاحيات الوحدات
Activity log,سجل الأنشطة
Access log,سجل الدخول
Role permissions manager,إدارة صلاحيات الأدوار
User permissions,صلاحيات المستخدم
Role Permission For Page And Report,صلاحيات الأدوار على الصفحات والتقارير
Role permission for page and report,صلاحيات الأدوار على الصفحات والتقارير
Permitted documents for user,المستندات المسموح للمستخدم بالوصول إليها
Document share report,تقرير مشاركة المستندات
Crm,إدارة علاقات العملاء
Sales pipeline,مسار المبيعات
Sales stage,مرحلة البيع
Lead details,تفاصيل العملاء المحتملين
Sales pipeline analytics,تحليلات مسار المبيعات
Opportunity Summary By Sales Stage,ملخص فرص المبيعات حسب المرحلة
Opportunity summary by sales stage,ملخص فرص المبيعات حسب المرحلة
Prospects engaged but not converted,عملاء مرتقبون تم التواصل معهم ولم يتحولوا إلى عملاء
First Response Time For Opportunity,وقت الاستجابة الأول لفرص المبيعات
First response time for opportunity,وقت الاستجابة الأول لفرص المبيعات
Campaign efficiency,كفاءة الحملات التسويقية
Lead owner efficiency,كفاءة مسؤولي العملاء المحتملين
Email campaign,حملة بريدية
Sms Center,مركز الرسائل النصية
Sms center,مركز الرسائل النصية
Sms Log,سجل الرسائل النصية
Sms log,سجل الرسائل النصية
Email group,مجموعة بريدية
Crm Settings,إعدادات إدارة علاقات العملاء
Crm settings,إعدادات إدارة علاقات العملاء
Sms Settings,إعدادات الرسائل النصية
Sms settings,إعدادات الرسائل النصية
Import data,استيراد البيانات
Export data,تصدير البيانات
Bulk update,تحديث جماعي
Download backups,تنزيل النسخ الاحتياطية
Deleted documents,المستندات المحذوفة
To do,قائمة المهام
Alerts And Notifications,التنبيهات والإشعارات
Alerts and notifications,التنبيهات والإشعارات
Auto email report,إرسال التقارير تلقائيًا بالبريد
Notification settings,إعدادات الإشعارات
Email account,حساب البريد الإلكتروني
Email domain,نطاق البريد الإلكتروني
Email template,قالب البريد الإلكتروني
Print format builder,مصمم نماذج الطباعة
Print Format Builder (new),مصمم نماذج الطباعة (الجديد)
Print format builder (new),مصمم نماذج الطباعة (الجديد)
Print settings,إعدادات الطباعة
Print heading,ترويسة الطباعة
Assignment rule,قاعدة الإسناد
Auto repeat,التكرار التلقائي
Hr,الموارد البشرية
Employee group,فئة الموظفين
Employee grade,الدرجة الوظيفية
Leave application,طلب إجازة
Compensatory leave request,طلب إجازة تعويضية
Attendance request,طلب تسجيل أو تصحيح حضور
Employee checkin,تسجيل حضور وانصراف الموظف
Expense claim,مطالبة مصروفات
Employee advance,سلفة موظف
Travel request,طلب انتداب
Monthly attendance sheet,كشف الحضور الشهري
Employee analytics,تحليلات الموظفين
Employee leave balance,رصيد إجازات الموظف
Employee leave balance summary,ملخص أرصدة إجازات الموظفين
Employee advance summary,ملخص سلف الموظفين
Employee exits,إنهاء خدمات الموظفين
Employee information,بيانات الموظفين
Employee birthday,أعياد ميلاد الموظفين
Employees Working On A Holiday,الموظفون العاملون خلال عطلة رسمية
Daily work summary replies,ردود ملخصات العمل اليومية
Appointment letter template,نموذج خطاب التعيين
Employee lifecycle,دورة حياة الموظف
Employee onboarding template,نموذج مباشرة عمل الموظف
Employee onboarding,مباشرة عمل الموظف
Employee skill map,مصفوفة مهارات الموظفين
Grievance type,نوع الشكوى أو التظلم
Employee grievance,شكوى أو تظلم موظف
Training program,البرنامج التدريبي
Training event,دورة تدريبية
Training feedback,تقييم التدريب
Training result,نتيجة التدريب
Daily work summary,ملخص العمل اليومي
Daily work summary group,مجموعة ملخصات العمل اليومية
Appraisal template,نموذج تقييم الأداء
Kra,مجالات النتائج الرئيسية (KRA)
Employee feedback criteria,معايير تقييم الموظف
Appraisal cycle,دورة تقييم الأداء
Employee performance feedback,ملاحظات تقييم أداء الموظف
Energy points,نقاط التحفيز
Energy point rule,قاعدة نقاط التحفيز
Energy point settings,إعدادات نقاط التحفيز
Energy point log,سجل نقاط التحفيز
Employee promotion,ترقية موظف
Appraisal overview,نظرة عامة على تقييم الأداء
Shift & attendance,الورديات والحضور والانصراف
Shift type,نوع الوردية
Shift assignment,تعيين وردية
Shift schedule,جدول الورديات
Shift schedule assignment,تعيين جدول ورديات
Shift request,طلب وردية
Shift assignment tool,أداة توزيع الورديات
Employee attendance tool,أداة تسجيل حضور الموظفين
Upload attendance,رفع بيانات الحضور
Shift attendance,حضور الورديات
Employee hours utilization based on timesheet,معدل الاستفادة من ساعات الموظفين حسب كشوف ساعات العمل
Project profitability,ربحية المشاريع
Expense claims,مطالبات المصروفات
Expense claim type,نوع مطالبة المصروفات
Additional salary,استحقاق أو استقطاع إضافي
Fleet management,إدارة الأسطول
Vehicle service item,بند صيانة المركبة
Vehicle log,سجل المركبة
Vehicle expenses,مصروفات المركبات
Purpose Of Travel,غرض الانتداب
Purpose of travel,غرض الانتداب
Unpaid expense claim,مطالبات مصروفات غير مسددة
Accounting reports,التقارير المحاسبية
Accounts receivable,الذمم المدينة
Holiday list,قائمة العطلات الرسمية
Leave type,نوع الإجازة
Leave period,فترة الإجازات
Leave policy,سياسة الإجازات
Leave block list,قائمة حظر الإجازات
Leave allocation,تخصيص رصيد الإجازة
Leave policy assignment,تعيين سياسة الإجازات
Leave control panel,لوحة إدارة الإجازات
Leave encashment,صرف بدل رصيد الإجازات
Payroll entry,مسير الرواتب
Erpnext Settings,إعدادات ERPNext
Erpnext settings,إعدادات ERPNext
Module settings,إعدادات الوحدات
Accounts settings,إعدادات الحسابات
Projects settings,إعدادات المشاريع
Email / notifications,البريد الإلكتروني والإشعارات
Website settings,إعدادات الموقع الإلكتروني
Website theme,مظهر الموقع الإلكتروني
Website script,كود الموقع الإلكتروني
About us settings,إعدادات «من نحن»
Contact us settings,إعدادات «اتصل بنا»
System settings,إعدادات النظام
Domain settings,إعدادات مجالات العمل
Global defaults,الإعدادات الافتراضية العامة
Print format,نموذج الطباعة
Print style,نمط الطباعة
Workflow state,حالة سير العمل
Workflow action,إجراء سير العمل
Accounting Dimension,البعد المحاسبي
Accounts Receivable Summary,ملخص الذمم المدينة
Attendance Count,عدد أيام الحضور
Bank Remittance,التحويل البنكي للرواتب
Benefits,المزايا والبدلات
Bulk Salary Structure Assignment,إسناد هيكل الرواتب بشكل جماعي
Dashboard,لوحة المعلومات
Deduction Reports,تقارير الاستقطاعات
Department Wise Openings,الشواغر حسب القسم
Employee Benefit Application,طلب مزايا الموظف
Employee Benefit Claim,مطالبة مزايا الموظف
Employee Exit,إنهاء خدمة الموظف
Employee Incentive,حافز الموظف
Employee Journey,مسيرة الموظف الوظيفية
Employee Separation,إنهاء خدمة الموظف
Employee Separation Template,نموذج إنهاء الخدمة
Employee Tax Exemption Category,فئة الإعفاء الضريبي للموظف
Employee Tax Exemption Declaration,إقرار الإعفاء الضريبي للموظف
Employee Tax Exemption Proof Submission,تقديم إثبات الإعفاء الضريبي
Employee Tax Exemption Sub Category,الفئة الفرعية للإعفاء الضريبي
Employee Transfer,نقل الموظف
Exemption,الإعفاء
Exit Interview,مقابلة إنهاء الخدمة
Exits (This Month),المغادرون (هذا الشهر)
Full and Final Statement,مخالصة نهاية الخدمة
Incentives,الحوافز
Income Tax Computation,احتساب ضريبة الدخل
Income Tax Deductions,استقطاعات ضريبة الدخل
Income Tax Slab,شرائح ضريبة الدخل
Interviews (This Week),المقابلات (هذا الأسبوع)
Item-wise Purchase Register,سجل المشتريات حسب الصنف
New Hires (This Month),الموظفون الجدد (هذا الشهر)
Payment Request,طلب دفع
Payroll,الرواتب
Payroll Period,فترة الرواتب
Payroll Reports,تقارير الرواتب
Professional Tax Deductions,استقطاعات الضريبة المهنية
Provident Fund Deductions,استقطاعات صندوق الادخار
Retention Bonus,مكافأة الاستبقاء
Roster,جدول المناوبات
Salary Component,مكوّن الراتب
Salary Payments Based On Payment Mode,مدفوعات الرواتب حسب طريقة الدفع
Salary Payments via ECS,مدفوعات الرواتب عبر التحويل الإلكتروني
Salary Payout,صرف الرواتب
Salary Register,سجل الرواتب
Salary Slip,قسيمة الراتب
Salary Structure,هيكل الراتب
Salary Structure Assignment,إسناد هيكل الراتب
Salary Withholding,حجز الراتب
Tax & Benefits,الضرائب والمزايا
Tax Setup,إعداد الضرائب
Trainings (This Week),التدريبات (هذا الأسبوع)
UAE VAT 201,إقرار ضريبة القيمة المضافة الإماراتي (VAT 201)
Received Items to Be Billed,أصناف مستلمة لم تُفوتر بعد
Delivered Items to Be Billed,أصناف مسلّمة لم تُفوتر بعد
Items to Order and Receive,الأصناف المطلوب طلبها واستلامها
Subcontracted Raw Materials to Be Transferred,مواد خام مطلوب تحويلها إلى مقاولي الباطن
Subcontracted Item to Be Received,أصناف مطلوب استلامها من مقاولي الباطن
Payment Period Based on Invoice Date,فترة السداد حسب تاريخ الفاتورة
Address and Contacts,العناوين وبيانات الاتصال
Customer Addresses and Contacts,عناوين وبيانات اتصال العملاء
Pending SO Items for Purchase Request,الأصناف المطلوب شراؤها لتغطية أوامر البيع
Territory Target Variance Based on Item Group,مقارنة المستهدف بالمحقق لمناطق البيع حسب مجموعة الأصناف
Sales Person Target Variance Based on Item Group,مقارنة المستهدف بالمحقق لمندوبي المبيعات حسب مجموعة الأصناف
Sales Partner Target Variance Based on Item Group,مقارنة المستهدف بالمحقق لشركاء المبيعات حسب مجموعة الأصناف
Unit Of Measure (UOM),وحدة القياس
Requested Items to Be Transferred,الأصناف المطلوبة للتحويل
Permitted Documents for User,المستندات المسموح للمستخدم بالوصول إليها
Employee Hours Utilization Based on Timesheet,معدل الاستفادة من ساعات الموظفين حسب كشوف ساعات العمل
Pending So Items for Purchase Request,الأصناف المطلوب شراؤها لتغطية أوامر البيع
Unit of Measure (Uom),وحدة القياس
Unit Of Measure (uom),وحدة القياس
Full And Final Statement,مخالصة نهاية الخدمة
Salary Payments Based on Payment Mode,مدفوعات الرواتب حسب طريقة الدفع
Salary Payments Via ECS,مدفوعات الرواتب عبر التحويل الإلكتروني
Unit of measure (UOM),وحدة القياس
Print Format Builder (NEW),مصمم نماذج الطباعة (الجديد)
Print format builder (NEW),مصمم نماذج الطباعة (الجديد)
